model,regime,n,mae,rmse,bias,skill,pinball,coverage,nominal_coverage,interval_width
ARIMA,crisis,11685,55.55417966184584,75.17499006721074,-2.485492865308485,0.3120635392346518,44.837069269851476,0.17312794180573385,0.8,44.94401174677689
ARIMA,post-crisis,23369,24.70583037667407,36.81551073421287,0.08336656231588938,0.24426598561464408,13.001174215926312,0.673113954384013,0.8,72.28333452455578
ARIMA,pre-crisis,8037,12.1260443412904,17.10241596457152,-1.5274860697136898,0.20416614237458297,6.19637250596947,0.5452283190245116,0.8,26.552478685710298
B1_weekly_naive,crisis,11685,80.75481215233205,108.9227302309233,0.7223825417201566,0.0,37.099383775971084,0.2771074026529739,0.8,59.16767796320069
B1_weekly_naive,post-crisis,23369,32.691171637639606,50.647163438511775,-0.3352745089648681,0.0,13.637939172502984,0.7764559887029826,0.8,100.9630519919552
B1_weekly_naive,pre-crisis,8037,15.236904317531417,22.139862772911098,-1.0631155903944258,0.0,6.340057742662409,0.6942889137737962,0.8,34.27575463481399
B2_daily_naive,crisis,11685,55.86233547282841,79.67669438785157,0.23486093281985432,0.30824759560517145,25.371028751010314,0.36696619597774927,0.8,49.66150346598204
B2_daily_naive,post-crisis,23369,26.91947622919252,41.527929012168556,-0.0551944884248363,0.1765521123691307,11.325060795165486,0.7566434164919338,0.8,76.19428730369295
B2_daily_naive,pre-crisis,8037,12.9627448052756,19.48322332523479,-0.17311683463979097,0.1492533827648438,5.453598020267375,0.7178051511758119,0.8,31.216203185268142
LightGBM,crisis,11685,108.9717069125434,142.58255275718415,-104.29873754024707,-0.3494144064998175,51.62935505404108,0.1922122379118528,0.8,57.90362345080053
LightGBM,post-crisis,23369,17.15730688421279,27.27191837265281,1.5928139342160728,0.4751700222191365,6.807278412893611,0.7448328982840515,0.8,52.26991755118761
LightGBM,pre-crisis,8037,13.358550975040506,18.755856771705652,-10.038248574786424,0.12327657267819803,5.872581023263056,0.4655966156526067,0.8,16.48896641494924
LightGBM_anchored,crisis,11685,46.8743673514453,68.01715946953637,-9.359845789751873,0.4195470696777337,20.47395425331843,0.47770646127513905,0.8,69.5059964719608
LightGBM_anchored,post-crisis,23369,17.63608711262518,28.755246964040516,2.654386478322058,0.4605244710067371,7.1020342181618545,0.7258761607257478,0.8,50.156480690406134
LightGBM_anchored,pre-crisis,8037,8.74647655979239,12.877328703761746,-3.5355771414787833,0.4259676127434371,3.5237752998550453,0.6580813736468831,0.8,20.869479462701634
SARIMA,crisis,11685,50.92914594363759,68.36284194833753,-1.488102957665025,0.36933608553794584,45.23117138102095,0.15335900727428328,0.8,39.11521602279428
SARIMA,post-crisis,23369,22.36248835351433,33.78512654656496,-0.29408277171127784,0.3159471737083033,13.713691558629515,0.6227480850699645,0.8,63.569870309562596
SARIMA,pre-crisis,8037,10.461994638142869,14.80247631380745,-1.943832239103855,0.3133779395001246,5.606411943200275,0.5146198830409356,0.8,23.04252135898488
SARIMAX,crisis,11685,40.14586834681532,57.08196026820795,-0.34006615211454716,0.5028671694377042,39.386159497935296,0.19178433889602053,0.8,36.516021082803604
SARIMAX,post-crisis,23369,14.756025898090947,24.586659294815053,0.1561231759691888,0.5486235225322633,7.537660474544702,0.7859985450810903,0.8,53.90982037191328
SARIMAX,pre-crisis,8037,6.810948050916039,10.23279474285363,-0.6866549996093503,0.5529965989824169,4.054470323749006,0.5214632325494587,0.8,14.710231675793832
