model,regime,variant,n,coverage,width,pinball
ARIMA,crisis,uncalibrated,11685,0.17312794180573385,44.94401174677689,44.837069269851476
ARIMA,crisis,conformal_global,11685,0.4768506632434745,176.68388877781956,40.16136528365453
ARIMA,crisis,conformal_conditional,11685,0.47933247753530167,141.56262950203626,35.63208992348698
ARIMA,post-crisis,uncalibrated,23367,0.6730859759489879,72.2834390692325,13.001839334669143
ARIMA,post-crisis,conformal_global,23367,0.8696024307784482,172.20242117708145,13.98425970689754
ARIMA,post-crisis,conformal_conditional,23367,0.8384901784567981,146.76911882503364,12.208006902150991
ARIMA,pre-crisis,uncalibrated,3671,0.41323889948242987,27.45804013588569,7.765075236941892
ARIMA,pre-crisis,conformal_global,3671,0.6535004086080087,41.034648837826126,6.901931584580682
ARIMA,pre-crisis,conformal_conditional,3671,0.6325251974938709,33.42457561543262,5.727313488147103
B1_weekly_naive,crisis,uncalibrated,11685,0.2771074026529739,59.16767796320069,37.099383775971084
B1_weekly_naive,crisis,conformal_global,11685,0.612665810868635,181.3250046127514,33.69547810649931
B1_weekly_naive,crisis,conformal_conditional,11685,0.5988018827556697,155.69143705605478,30.67009328959255
B1_weekly_naive,post-crisis,uncalibrated,23367,0.7764368553943596,100.96311357897895,13.638665881608915
B1_weekly_naive,post-crisis,conformal_global,23367,0.8591175589506569,154.59601203406518,14.170135429784644
B1_weekly_naive,post-crisis,conformal_conditional,23367,0.8470920528951085,137.29279276329868,13.247809376423541
B1_weekly_naive,pre-crisis,uncalibrated,3671,0.6788341051484609,35.6977564696268,7.2645941947395505
B1_weekly_naive,pre-crisis,conformal_global,3671,0.7711795151184964,48.528788586216294,7.16977295923
B1_weekly_naive,pre-crisis,conformal_conditional,3671,0.7632797602833016,42.07406668482703,6.448607779291141
B2_daily_naive,crisis,uncalibrated,11685,0.36696619597774927,49.66150346598204,25.371028751010314
B2_daily_naive,crisis,conformal_global,11685,0.6515190415062045,134.9767015746684,23.589481558503305
B2_daily_naive,crisis,conformal_conditional,11685,0.6448438168592212,124.29765706461275,22.220902004754432
B2_daily_naive,post-crisis,uncalibrated,23367,0.7566225874095948,76.19443338896735,11.325247059243091
B2_daily_naive,post-crisis,conformal_global,23367,0.845337441691274,113.3905941798263,11.498045581042591
B2_daily_naive,post-crisis,conformal_conditional,23367,0.8467924851286002,105.7249575512475,10.994169968997115
B2_daily_naive,pre-crisis,uncalibrated,3671,0.6654862435303732,31.954527376736586,6.566139532068161
B2_daily_naive,pre-crisis,conformal_global,3671,0.723508580768183,39.13917818033232,6.504697384303398
B2_daily_naive,pre-crisis,conformal_conditional,3671,0.7254154181421956,35.63925755924816,5.985970140137414
LightGBM,crisis,uncalibrated,11685,0.1922122379118528,57.90362345080053,51.62935505404108
LightGBM,crisis,conformal_global,11685,0.5682498930252461,186.98620759248126,36.72851354879751
LightGBM,crisis,conformal_conditional,11685,0.4840393667094566,153.66473283475187,34.83019380510745
LightGBM,post-crisis,uncalibrated,23367,0.7448966491205546,52.27144685110476,6.807120942025251
LightGBM,post-crisis,conformal_global,23367,0.7957803740317542,102.21882543851578,9.918038415394522
LightGBM,post-crisis,conformal_conditional,23367,0.7775923310651773,90.71111407061858,10.10944823674113
LightGBM,pre-crisis,uncalibrated,3671,0.18904930536638517,18.33258719109143,10.355990148687999
LightGBM,pre-crisis,conformal_global,3671,0.35494415690547537,27.804850758155432,8.25139046066612
LightGBM,pre-crisis,conformal_conditional,3671,0.33696540452192864,27.441528148021593,8.013441849503202
LightGBM_anchored,crisis,uncalibrated,11685,0.47770646127513905,69.5059964719608,20.47395425331843
LightGBM_anchored,crisis,conformal_global,11685,0.6844672657252888,134.62985252223686,19.885901196510396
