model,variant,n,coverage,width,pinball
ARIMA,uncalibrated,38723,0.4975854143532268,59.78401372132016,22.11194187811487
ARIMA,conformal_global,38723,0.730599385378199,161.11983606376944,21.2120120021066
ARIMA,conformal_conditional,38723,0.7105854401776722,134.4527785140642,18.662046738462816
B1_weekly_naive,uncalibrated,38723,0.6165069855124862,82.16372326524291,20.113868511392884
B1_weekly_naive,conformal_global,38723,0.7764119515533404,152.60638057485218,19.398431237134403
B1_weekly_naive,conformal_conditional,38723,0.764222813315084,133.81786094310877,17.860559381906242
B2_daily_naive,uncalibrated,38723,0.6304005371484648,63.99388123337552,15.112512388273407
B2_daily_naive,conformal_global,38723,0.7753015004002789,112.8652401725073,14.673363819980661
B2_daily_naive,conformal_conditional,38723,0.7743459959197376,104.68519795470392,13.907148360807675
LightGBM,uncalibrated,38723,0.5254241665160241,50.75354869640436,20.669055824564413
LightGBM,conformal_global,38723,0.6853291325568783,120.7435564618736,17.850330264993104
LightGBM,conformal_conditional,38723,0.6472380755623273,103.70985862390845,17.370442284692217
LightGBM_anchored,uncalibrated,38723,0.6424089042687808,53.78921109289837,10.935652684857823
LightGBM_anchored,conformal_global,38723,0.7770833871342613,83.50939286265132,10.784422042419951
LightGBM_anchored,conformal_conditional,38723,0.764894248896005,82.21048009703058,10.735436295194363
N-HiTS,uncalibrated,38723,0.6955795055040055,50.10582721454253,8.289628983931053
N-HiTS,conformal_global,38723,0.7985130540026512,61.31087240631995,8.234411847904276
N-HiTS,conformal_conditional,38723,0.7990029393118552,63.85585216905515,8.15713128294022
SARIMA,uncalibrated,38723,0.46558892647780387,52.41321039986681,22.53016847631348
SARIMA,conformal_global,38723,0.7370554967332077,162.4163059621013,21.535766936399106
SARIMA,conformal_conditional,38723,0.7248405340495313,142.29820480788297,19.746848007389886
SARIMAX,uncalibrated,38723,0.5726054282984273,44.999138726748164,16.945217566337213
SARIMAX,conformal_global,38723,0.7331301810293624,122.86726599668395,16.6600955025501
SARIMAX,conformal_conditional,38723,0.7148464736719778,113.23696159925626,16.238433588081605
