feature,kind,offset_days,source,min_slack_hours,admissible
cal_hour,calendar,0,,inf,True
cal_dow,calendar,0,,inf,True
cal_month,calendar,0,,inf,True
cal_is_weekend,calendar,0,,inf,True
cal_is_holiday,calendar,0,,inf,True
cal_is_bridge_day,calendar,0,,inf,True
cal_is_nonworking,calendar,0,,inf,True
cal_sin_day_1,calendar,0,,inf,True
cal_cos_day_1,calendar,0,,inf,True
cal_sin_day_2,calendar,0,,inf,True
cal_cos_day_2,calendar,0,,inf,True
cal_sin_day_3,calendar,0,,inf,True
cal_cos_day_3,calendar,0,,inf,True
cal_sin_year_1,calendar,0,,inf,True
cal_cos_year_1,calendar,0,,inf,True
cal_sin_year_2,calendar,0,,inf,True
cal_cos_year_2,calendar,0,,inf,True
price_d1_same_hour,price,1,price_delu,23.25,True
price_d2_same_hour,price,2,price_delu,47.25,True
price_d7_same_hour,price,7,price_delu,167.25,True
price_d1_mean,price,1,price_delu,23.25,True
price_d1_min,price,1,price_delu,23.25,True
price_d1_max,price,1,price_delu,23.25,True
price_d1_std,price,1,price_delu,23.25,True
price_d1_spread,price,1,price_delu,23.25,True
price_d1_h03,price,1,price_delu,23.25,True
price_d1_h08,price,1,price_delu,23.25,True
price_d1_h12,price,1,price_delu,23.25,True
price_d1_h19,price,1,price_delu,23.25,True
price_d1_week_mean,price,1,price_delu,23.25,True
x_fc_residual,exog,0,fc_residual,0.0,True
x_fc_load,exog,0,fc_load,0.0,True
x_fc_wind_on,exog,0,fc_wind_on,0.0,True
x_fc_wind_off,exog,0,fc_wind_off,0.0,True
x_fc_solar,exog,0,fc_solar,0.0,True
x_fc_gen_total,exog,0,fc_gen_total,0.0,True
x_wind_total,exog,0,fc_wind_on,0.0,True
x_renewables,exog,0,fc_solar,0.0,True
x_renewable_share,exog,0,fc_load,0.0,True
x_residual_ramp_1h,exog,0,fc_residual,0.0,True
x_residual_day_position,exog,0,fc_residual,0.0,True
x_residual_day_max,exog,0,fc_residual,0.0,True
x_residual_day_min,exog,0,fc_residual,0.0,True
x_residual_below_10gw,exog,0,fc_residual,0.0,True
